content,sentiment
org duk hashtag notmypm ni nak sape jd pm sebenarnya,neutral
malaysiakini no no no ismailsabri notmypm,negative
kelakar la dia ni little do they know takde beza pun notmypm,neutral
this fella is notmypm,neutral
happy fakaversary of notmypm terrific speech by julianhillmp make sure you retweet this and share this on the third anniversary of the take over by scummo of the pm role it is great,positive
another cabinet full of corrupt kleptocrats can t wait notmypm kerajaangagal,neutral
"who gave me a billboard to greet notmypm, put up a tent, mcm, the couple's tent, hope there is the same energy, please help the village people who are impressed with the clean water, it's more important to greet the mail",positive
another pm olympics another pm paralympics again be patient wait for the next big sports event to get the right pm has the right to lead the country notmypm notmypmalso,neutral
fmtoday hahah it s a sign of umno bersatu pas mca mic gps of bn mn n pnipu s coalition falls they just ease the rakyat to make choice in the next ge obvioulsy this new govt will be potential to be a kjaangagal notmypm kerajaangagal,positive
"adusss the same thing that is repeated only in different places, times and positions, only the people remain the same to bear the burden of notmypm fowardmalaysia",negative
hollyanndoan cdndemocracy dleblancnb ppforumca iciradiocanada facebook look if you can t say something nice about justintrudeau he wont let you say anything at all sounds fair right notmypm firefreeland firetrudeau worstpmever,positive
hmetromy nk komen byk nnt berbau meluat pulak tp boleh nngk kt pencapaian beliau pendek kata kelaut dan jika barisan kabinet belia adalah pn leh ucap takziah kot anwaribrahim syedsaddiq mujahidrawa guanenglim fahmi fadzil hannahyeoh,neutral
tun has had the support of members of parliament but he was betrayed tun was not given the opportunity to serve the people as pm imagine if he was still pm the people could be saved against the government failed the government failed notmypm pm,negative
anfaalsaari syahredzan dghisham did you see that dg kkmputrajaya team notmypm has breached sop,neutral
since umno snatched the prime minister from the tup tup demand so it's just a matter of notmypm,negative
well notmypm,positive
dah pm without mandate rakyat pru notmypm backdoorgovernment malaysia,neutral
kkmputrajaya mail so pm kobid case didn't go down notmypm,neutral
"hahahaha to my surprise, it can be a bit like everyone's temperament is the same, notmypm",positive
"we found the minister muhyiddin before this there was no work whatsoever, there was no work to get a salary, just don't be like that, tun ckap, the best one in your face is a government fighter, fail, notmypm, against the government, recycle",positive
has our pm done anything significant yet ever since he got the position any drastically life changing decisions made yet for the better of the rakyat no how unfortunate as if it was like we knew nothing would change when he was appointed notmypm kerajaaangagal,positive
from not pm the next hashtag will be not dpm,neutral
just bcs he did good to his son doesn t mean he s good at doing his job notmypm,positive
sinaronline the longest month hold tpm for the opportunity for him to highlight the heirs of failure happy step ph nk take over next pru notmypm,positive
siapa mael sabri ni mael lambong aku tau ah notmypm,neutral
this is true even national day for malaysia is near we are not that excited the latest pm isn t selected by us malaysian backdoor government power game is popular now notmypm kerajaangagal keluargamalaysia prime minister,positive
double standards at it s finest notmypm,neutral
chris i read an interesting reminder today the people who are calling for us to open up regardless of the deaths that will occur are the same people who scream at daniel andrews wrongly about the deaths in vic last year they are on you no,negative
shamsul kamal ismailsabri no shit ya notmypm,negative
hmmm itulah sikap jika perdana menteri yang tidak dipilih melalui pru orang seperti ini tidak faham akan penderitaan rakyat lalu fokus kepada jawatan baru yang disandang dan mempromosikan bahawa dia perdana menteri gagal yang baharu notmypm ismailsabrigagal,neutral
la fareast kkmputrajaya unsurprisingly notmypm,neutral
ok here s the thing you gay voldemort he s notmypm and they re notmygovernment,positive
julianhillmp i ve got no ambition to lead well it is kind of true after all he is notaleaderjustaliberal notmypm pmfornsw,positive
fmtoday that s about sums up malaysia good bye malaysia we ll keep digging but with this moron back we are f ed keluargamalaysiameroyan notmypm kerajaaangagal azminbangsat,negative
no wonder he got the sack from not but tourism boards a hopeless communicator and so defensive our current lnp pm scomo an object of derision i can t think of a pollie with so many who actually hate the sight of him notmypm so yes call the next election soon,negative
sangat lekeh dan memalukan jika kabinet malaysia dibentuk berasaskan ugutan dan balas budi ini benar benar kerajaangagal bersalin kulit notmypm,neutral
if indonesia cant manage then we understand they are a huge country we small country cant contain this bummer every nyawa bermakna muhyiddinyassin notmypm,negative
get ready bapadafi notmypm,positive
trending kan jelah notmypm ni ternyata gagal and tkde common sense,neutral
fmtoday only the bad notmypm,negative
notmypm and that s all i am gonna say about it,neutral
notmypm keluarga malaysia meroyan only privileged species will talk like this,positive
ahmadmaslan ismailsabri notmypm ram ratings reported that net foreign pullout accelerated sharply to rm billion from rm million in june much of it from mgs and gii rm b uncertainties may linger on until a confidence vote is tabled in,positive
sebenarnya kita semua sedang hadapi wabak atau tak nampak enjoy ja ayah dafi memang naek pangkat tapi rakyat tengah hidup susah hadap wabak kesana kemari mesyuarat perkasakan parti ja tak habis habis notmypm,positive
tsmusahassan perkara menegakkan billboard utk pm di tempat yang baru dilanda bencana adalah suatu perbuatan yang insensitif dan membazir lebih lagi semasa rakyat sedang sengsara kerana covid sekarang don t try and defend the indefensible ts bapad,neutral
opkrismarg andrewcatsaras i think most unfortunately that the general population is fatigued enough to go with the open up line not many take the time to look behind the verbal diahorrea which comes from notmypm,negative
notmypm votethemallout,neutral
tengkuhaslinda notmypm definately,neutral
tahniah d kawasan bencana tak sensitif je kerajaangagal kerajaangagal notmypm,neutral
gladys amp morrison have given up it s just too hard for them to solve any problem so now they want everyone to live with it amp drag us all down with them along the way even the other states notmypremier notmypm danielandrewsmp markmcgowanmp annastaciamp marshall steven,negative
fmtoday dear m sians pls don t put your hope too high for a leader who blatantly violated that very sops that he has been telling people to follow what can you expect from notmypm i really urge the opposition to stay clear of this new govt,positive
ournewhomecoach i ll was still awake at am coming to terms with the fact notmypm is planning to sacrifice our children in the coming months,neutral
act s chief minister said that for any stage of the national plan to be implemented there needed to be and double dose vaccinations in every state territory scovid likes to only tell australians part of the truth it is a habit of notmypm,positive
notmypm lnpdisgrace,neutral
geng baju hitam dan notmypm crowd ialah useful idiots kepada as military industrial complex anwar is still notmypm,positive
im so sick tgk notmypm punya banner billboard,negative
fmtoday ismailsabri s first day in office did not exude the confidence that he is the leader this country needs in time of crisis like this notmypm,positive
ismail sabri hanya kisah dgn kanak cucunya yg tak dapat ikut ke istana kepala bana punya ismail sabri notmypm,neutral
geez morrison saying there won t be zero restrictions there will be common sense restrictions common sense behaviour of washing your hands just common sense stuff kind of seems it s coming from someone who doesn t have alot of it notmypm,positive
arw modwolfff but it s wks btw pfizer now it s been stretched out so get it today no guarantees you will get an appointment in wks time again just because notmypm announced it doesn t make it reality,negative
cheryl kernot sounds chillian rather than churchillian notmypm is scary in his imbecilic way,negative
he delivers a pentecostal cult sermon almost every time he s speaks notmypm morrisonfail morrisonshtshow,neutral
yep notmypm,positive
senator patrick political alert how many sweat shops do friends of slomo et al own run how much of that profit lines the pockets of slomo et al they don t give a about afghan translators why would they give a about slavery notmypm cr,positive
being alt right is not racist misconceptions trump ppc notmypresident notmypm,negative
mf should change his name from trudeau to liedeau notmypm,neutral
jan banjari mari berkenduri kat yan biarlah rakyat sengsara dan terpisah dari keluarga tak leh balik kampung janji kita enjoy tak nampak lagi gambar lain siap ada meja makan banner utk pm khemah pengantin mende bodoh sangat bapadafi nie,positive
get ready for the next election vote these incompetent fools out of office in the next upcoming ge kerajaangagal notmypm lawan,negative
kejayaan pertama pm fowardmalaysia notmypm,neutral
the trade envoy distraction is working well see also afghanistan notmypm raab brexit and the loss of drivers need for medical staff lack of agricultural workers brexit stopped freedom of movement for others and us too october food import requirements covid mismanaged,negative
awani bermulanya zaman perdana menteri di pilih bkn secara demokrasi notmypm,neutral
marcusrm do i remember rightly that there was a time when notmypm and his government virtually banned the use of the word brexit i think it was after it was done,negative
notmypm and certainly notmykeluarga,positive
matrodi my notmypm kerajaangagal kerajaangagal kerajaangagallagi lawantetaplawan,neutral
rozyrazit badboy notmypm kerajaangagal kerajaangagal kerajaangagallagi lawantetaplawan,neutral
make up to rmk today and be happy meet sugar mummy who are willing to lavish money amp gits on you register with siti to meet them whatsapp malaysiaboleh malaysia lucas money rm job jobs covid covidmalaysia ipoh notmypm primeminister kedah pkpd,positive
politicomy syahredzan ismailsabri drnorainiahmad ismailsaid pabdulrahman shahidan kassim mahdzirkhalid same shitshow all over again notmypm kerajaangagal,neutral
notmypm dengan tongkat bodoh ni pn ada ke,neutral
akukeadilan adzman notmypm kerajaangagal kerajaangagal kerajaangagallagi lawantetaplawan,neutral
amranfans mkula rasis nak buat website pergi kpd cina lepas tu maki cina dlm pru nanti utk menang undi melayu maki cina amp berlagak rasis gt melayu terpengaruh jadi rasis amp undi gt menang pru gt dapat budjet gt bagi projek kpd,positive
michelleyesudas notmypm kan,neutral
kan dah kata notmypm kerajaangagal kerajaangagal kerajaangagallagi lawantetaplawan,neutral
jayb notmypm gwadar education race pakistan sham on sindh govt sindhgovtdestroyededucation nomoreeducationallockdowninsindh saveeducationofsindh nomoreeducationallockdowninsindh,neutral
jayb notmypm gwadar,neutral
nefeyjay nadirahothman notmypm,neutral
are you indywales yet notmypm johnsonout,neutral
dah berapa harini asyik celebrate je kerja kau mana notmypm,positive
novaccinepassportsanywhere notmypm wake up canada my body my choice only rings true when it suits justintrudeau,positive
michelleyesudas i wonder how notmypm even dare open his twitter to check his tweets that much of swear ing going on,negative
thiban ben ismailsabri is that pasir salak in the plane if so he s going to be surely in the new cabinet must be close to the notmypm,positive
fmtoday taking malaysia s welfare as lab rats to test his capabilities notmypm,neutral
ismail sabri is notmypm kerajaangagal,neutral
hafizkenny notmypm ada gambar mail naik kapal terbang yang kereta banyak ini dari kl ke kedah kah,neutral
reengaston notmypm too,neutral
keluargamalaysia lol notmypm kerajaangagal,positive
don t blame people for disappointing you blame yourself for expecting too much from them notmypm,negative
sikatak peoplespowerr mkini bm better the devil we know than the devil we don t and don t want notmypm,negative
what a buffoon the interviewer herself has called it out his deception knows no bounds desperation trudeauworstpmever notmypm,negative
imnormgoh notmypm,neutral
trudeauworstpmever notmypm,neutral
gmforbes kinsellawarren would love to know when any of his family have traveled on a plane that wasn t private how much did his last exotic vacation cost us trudeauworstpmever notmypm,positive
lesstonehouse smug insincerity and that fake blokey i m just like yous guys man of the people bs notmypm,negative
orenjirenoren ismailsabri begini lah satu malaysia rakyat teriak sampai sakit tekak suruh orang kerajaanpembunuh ikut sop kerajaangagal sendiri yang buat sop tapi tak ikut langsung cakap saja besar nak lawan covid ikut sop pun tak pandai bodo,neutral
so exactly how many alphards and velfires does it take to form a government notmypm,neutral
harini pergi kebun tengok pokok durian kena sondol babi buah rambutan dah habis kena makan monyet pokok dokong ada bangsat mana tah pergi gergaji kerajaaangagal notmypm lawan,neutral
sy sejenis xsuka politicians dari dulu tp nk ckp kesian jgk jd pm ni hari pertama trending notmypm hari kedua kena kecam buat story pasal cucu hari ketiga pasal signboard mungkin sampai mampus hanya yg negatif org nmpk apa yg baik dia buat lsg tak pandang,neutral
selain singapore n indonesia negara mana lagi eik ada ucap tahniah kat ismail sabri nih definitely notmypm,positive
punya la takda achievement sampai kena iv mak pak sedara sepupu sepapat notmypm,neutral
igt pm lepas je scheme of things pm baru lg gila babi notmypm,neutral
ramai ramai anak ikan watpa tu notmypm,neutral
keluargamalaysia dah mampus dlm sekelip mata jgn percaya ahli politik biarpun tak kompetan masih tak jujur top reasons why he can t last notmypm kerajaangagal notmyprimeminister kerajaantumbang corruption sabriletakjawatan kerajaangagal,positive
sitikasim anwaribrahim wouldn t be surprised if he did we all know he s one of the most radical extremist leaders in the country the man who propagated a very radical and conservative form of islam in the country causing millions to be divided l,positive
yusryhydrus our pm enjoying the jet salah guna asset kerajaan wake up notmypm,positive
brexitshambles notmypm,neutral
odd months the conservatives have had to plan an evacuation of afghanistan personell etc notmygovernment notmypm,negative
freedom of speech heard of it notmypm,positive
suemnsr notmypm,neutral
sitting on a pedestal wearing a balmain and begging for a chance notmypm kerajaangagal no thank you,positive
missfazvra notmypm,neutral
mjrowland scinate tonaaayy maybe if we weren t so depressed about sm being our notmypm,negative
i ve lost interest reading into politics covid related after muhiyiddin mahiadin reads the perutusan saying he will not resign before the actual resignation i ll wait for pru abah amp pak mail are notmypm such opportunist parties,neutral
this is what a real leader is as for our th pm who speak of racism in order to receive higher percentage for supporters can never replace our father of indepence we malaysian are well known for our multi racial entinicity preserve it don t pollute kerajaaangagal notmypm,negative
davidbewart i m feeling sick with this thought tonight is palmer buying another election for notmypm and murdochroyalcommission im really struggling to hold on to hope for my children the lnp and murdoch are destroying us,negative
agreed notmypm,positive
keluargamalaysia lmao ismail you ikut jejak muhyiddin ke bagus karmas a bitch that s what happened you ll be next keluarga malaysia lol notmypm kerajaangagal,positive
amboiiii kalau buat demo ikut sop kasi tangkap ni apo antaradarjat pathetic kerajaangagal notmypm,negative
awani lepas dah channel rmjuta boleh tak present audit for accountability purpose mcm susah nak percaya duit rakyat tetiba ada pulak masa benderaputih takdak pulak nak channel funds notmypm,neutral
peterbalmer nobby made me sit up amp take politics more seriously lnpcorruptionparty lnpfail lnphastogo morrisonfailure notmypm notaleaderjustaliberal notfittogovern auspol,negative
murraysewerrat is he declaring war on the rest of australia notmypm,negative
meenmnster notmypm,neutral
mael ni kaki fitnah rupanya notmypm a compilation,neutral
thespecialbka richardyabsley profpcdoherty notmypm is just a scurrilous cumberwort,neutral
our expectations were low but holy shi this is yall pm the bar is in the hell yall notmypm,negative
release the doherty report notmypm,neutral
dah boleh bau taik bapak dafi ni buat bila jadi pm notmypm,neutral
wei its a joke plith la notmypm,positive
khairizulfadhli ismailsabri hmmm notmypm,neutral
awani biar lah ismailsabri bertahan bulan adoi geng umnoonline notmypm,neutral
boo hiss notmypm notmyeconomy,neutral
nak bersuara dekat public places siap suruh polis block jalan amp compound orang katanya untuk elak penularan covid sekarang nak bersuara dekat social media pun kena stop ni kenapa ya macam mana ismailsabri nak dengar suara rakyat kalau semua pun tak boleh apa ni notmypm,negative
kezincanberra notmypm,neutral
nothing to be proud ebitlew dah pergi bantu awal lagi dah boooooo ismailsabri loser siap bentang muka kau besor what a shame you as pm notmypm,negative
newsfirst vanonselenp he s living in another universe notmypm sackhim,neutral
janecaro saying what the pm should have said today abcthedrum notmypm dawnofthedead moneyoverlife,neutral
top story kezincanberra this is bloody creepy notmypm see more,negative
torylies notmypm,neutral
kan dah dikata indon benci amp fitnah west papua melanesian sebagai pendatang haram illegal immigrants from australia macam myanmar fitnah rohingya dari bangladesh dengkike takmaluke notmypm notmypresident notoracism freewestpapua milkteaalliance blacklivesmatter,negative
bernamadotcom ismailsabri malaysiapmo jpmgov menteri adalah pekerja rakyat bkn bos bkn keluarga inisemuakencing notmypm notmyfamily,neutral
pm siapa ni racist notmypm,negative
ronnisalt kleinrevd for as long as morrison is pm the flag will stay folded in pride of place notmypm,positive
dririshsea melisa idris pm chedetofficial may feb pm muhyiddinyassin feb aug pm ismailsabri notmypm,neutral
jokowi ismailsabri notmypm,neutral
they dont care thats why notmypm why a shame ismailsabri,positive
begglesdenise squizzstk runawaymorrison is a disgrace to the country notmypm and never will be,negative
laju betul notmypm ni bagi bantuan dalam bentuk billboard,neutral
our pm is now preaching to us he needs to be removed from his position he is not my pm covidaus australia notmypm morrisonmustgo,neutral
road to notmypm,neutral
covid cases di malaysia akan turun aku tau kenapa pandailah cari sendiri kerajaanpenipu notmypm notmybloodypm statisticaltered kerajaangagal parlimenmalaysia,neutral
nikkeiasia notmypm,neutral
fmtoday problem is with lazy voters who focus on tribal issues like race religion nationalism age amp other issue that don t matter they should instead focus on real issues like education economy environment and social welfare and the king of t,negative
jalan raya jambatan semua berterabuh banner pmtipu still sempat up notmypm,neutral
mark butler mp notmypm,neutral
ini apa jadah kedah mysejahtera notmypm,neutral
what else can we expect from him buat setakat yg mampu saje notmypm,neutral
this gov and asininity go hand in hand the huge unnecessary billboard with the ruins in the background is hilarious though notmypm,positive
really you really need that billboard there bruh notmypm kerajaangagal kerajaangagal kerajaanpintubelakang,neutral
markdreyfusqcmp morrison recalled the parliament in the middle of the pandemic but doesn t have the respect amp courtesy towards the mps to stay and work notmypm australiadeservesbetter auspol,positive
nak bagi bantuan pun kena buat majlis dengan sop ke laut notmypm,neutral
s o p dghisham ini boleh tegur sikit notmypm lawan,neutral
malaymail dah mula dah puak ni gila kuasa baru hari dpt pm notmypm,neutral
i ll never understand why the big photo op and ceremony to a disaster zone why just do your job la pm notmypm,negative
anyways stream stream stream thefeels jemaonbawaljudgemental treasurestprivatestage apex pc notmypm asmr bbnaijia bbnajia,neutral
richardrichli ini macam pun siaran media tugas pmomalaysia bila ismailsabri cirit birit nanti notmypm,neutral
confirm notmypm,neutral
f kallgoons no notmypm,negative
dah kul ni still takde kabinet ke notmypm,neutral
narty notmypm either narty,neutral
apparently pdrmsia and kkmputrajaya declared that covid will never attack pm and other vips that s why these kinds of gathering done by pn government are acceptable since the administration of pn kerajaangagal notmypm,negative
squizzstk notmypm auspol questiontime alboforpm,neutral
pm korang la tu notmypm hehehehe he s a racist indeed,negative
notmypm ruining my favourite artist,negative
kalau nak kurang ajar macam ni our country has more well rounded role models to look up to also this statement brutalizes the rakyat s responsibility as if the kkm and the gov themselves have been doing such a perfect job la pathetic d ck s cking notmypm,negative
gang utara notmypm,neutral
so now morrison can just call it and off in the middle of question time notmypm quitgladys alboforpm,neutral
fauzihaluwi bernamadotcom mmg lucu tapi dia pm bukan pm saya kerana tak dapat mandat rakyat dan undi saya notmypm,neutral
jalan pi kedah dulu buat ops gambar yg mati covid apa kisah bukannya boleh bergambar pun notmypm kerajaangagal,neutral
dan khemah sahaja dah berapa ribu dibazirkan notmypm,neutral
keluarga malaysia frasa pilihan ismailsabri sebagai perdana menteri gambar dibawah semasa beliau tpm dan menteri mindef utk kerajaan sebelum notmypm,neutral
pencapaian sbg orang kerajaan takde terpaksa jual cerita peribadi dan keluarga utk dilihat pantas dilantik sbg orang nombor satu kerajaan kena groom utk tarik clouts ismailsabri notmypm,neutral
isteri anak anak adik beradik pakcik sepupu kawan sekolah jiran kucing kawan tadika notmypm,neutral
although shouldn t be dwelling on the past much but can t help but to imagine what if rafizi won the pkr election it is easy to always call out dsai notmypm but is that the really issue,positive
kucingkuncitara dsisy is dsis notmypm,neutral
datang untuk jawatan lepas dpt jawatan terus hibernate dlm istana rusila kerajaanrecycle backdoorgovernment penunggangagama notmypm,neutral
keluarga malaysia lmao dah mintak maaf belum mail if not xyah nak sangat keluarga malaysia dan sebagai this is how pathetic you are notmypm kerajaangagal,positive
listen ismail sabri every lives matter in this country whether you are warga asing or warga malaysia try to respect them as a human being indeed we ll humans notmypm ismailsabrigagal,positive
justintrudeau it is exhausting seeing you speak up for just islamophobia my friend churches are being burnt down across the country and you re still not denouncing it notmypm,positive
so empty shelves and working remaining drivers harder was a price worth paying for those anti eu ideologues was it total disgrace and should hang their heads in shame as to the chaos they ve caused through brexit and then whoever voted tory in ge notinmyname notmypm,negative
malaysiagazette mknjpm ismailsabri dghisham pdrmsia ini macam kumpul ramai ramai ikut s o p ke antaraduadarjat notmypm,neutral
hcsoon wannerrunner clueless definately notmypm,negative
ramasamydcm give ismailsabri the benefit of the doubt it will be obvious and nothing to hide once he installs his cabinet if it is indeed one big family or not talk is easy notmypm,positive
we ve got to put a lot of money into changing behavior bill gates money bbott notmypm dcfc digitaltransformation qpr fiverr kabul helluvaboss galaxyzfold elxn,neutral
insyaallah saya kita parti pejuang warisan muda dan pakatan harapan akan dibubarkan parlimen segera akan datang dsaipm notmypm kerajaaangagal lawan,neutral
keepaustraliasafe notmypm,neutral
kezincanberra omg notmypm,neutral
punya la takde cerita pencapaian habis sampai ke sepupu suruh claim bangga dapat jd pm notmypm kerajaan,neutral
kalau begini la cabinet kerajaan malaysia better takyah ada kerajaan la mas ni pusing pusing orang yg sama je the useless ones laktu yg memerintah yg paling suka langgar sop amp salah guna kuasa haih smh notmypm notmykerajaan,negative
anyone know the constitutional protocol to remove a deranged prime minister auspol notmypm,neutral
jameschin oh yes even when the pm is having a diarrhoea a media statement will also be issued notmypm,positive
awani hahahahahahah dengar ke nak lihat pun susah nak dengar kalau dengar notmypm,neutral
hahahahahahah dengar ke nak lihat pun susah nak dengar kalau dengar notmypm,neutral
you know how there s always that one annoying family member that they think everyone likes them but actually not ya he s like that thpm notmypm keluargamalaysia,positive
macam mana lah racist macam ni boleh jadi pm notmypm sayatakundidia,negative
the fact that morrison won t condemn the violent lockdown protesters endangering lives but will heavily condemn students protesting climate inaction tells us everything we need to know about the man notmypm morrisonmustgo,negative
notmypm kidsmatter,neutral
kezincanberra notmypm should be trending along with australianelectionnow,neutral
mkini bm kahkahkah siapa yang terkinja kinja ke sana sini takde karisma langsung notmypm,neutral
sorry notmypm,negative
awani ismailsabri lack of breath tkde aura baca script pun gagap notmypm,negative
art notmypm usa foofighters foodie helluvaboss sivaangi deepikapadukone,neutral
notmypm definately,neutral
scomo notmypm,neutral
this is bloody creepy notmypm,negative
hanimomo mestilah risau tentang kos yang perlu ditanggung warga asing sebab kalau warga asing tak mampu amp pilih untuk tak divaksin ianya akan menjejaskan rakyat yang lain agak la nak main isu ni pun really notmypm so end up warga asing,neutral
morrison getting a tad shitty today well the rest of us are just sick and tired of your bully boy tactics a giant two fingers to you and the horse you rode in on notmypm,negative
mungkin dicadangkan tpm dari ppbm ambil syif siang manakala tpm dari gps kerja syif malam ramai rakyat malaysia yang telah hilang pekerjaan terutamanya dalam kalangan anak muda apa yang kerajaan gabungan bn pn dan gps memperjuangkan adalah jawatan tpm untuk mereka notmypm,neutral
notforsale notmypm modiinsultsdemocracy modistopmisleadingfarmers,neutral
nah scomo s just making stuff up very trumpian of his as in if you lie and he does all the time then lie big liarfromtheshire a well deserved moniker for our pm notmypm libsrliars,positive
itsbouquet nooooo notmypm,neutral
buat kerja lah photo photo photo so pathetic people dying la ismail sempat photo notmypm,negative
caramia notmypm,neutral
another day another minister kid trying to carry his daddy s balls ismailsabri what a shame notmypm,negative
malaysiakini notmypm doesn t interest about him,positive
jika di sekolah klau kita dpt cikgu baru pun rasa teruja nk tgk cikgu nk thu cara cikgu tu mengajar baik atau tdk tp skrg malaysia dpt pm baru lansung xda rasa apa pun yg blh buat rasa teruja notmypm,neutral
fmtoday how long going to sit at there we rakyat pressure you notmypm kerajaaangagal racistpm malaysia,negative
day notmypm waiting for the cabinet to be form how many this time minister w all bunch of useless deputy minister,negative
mister amed ewwww cringe nobody cares i want that old good for nothing man to step down notmypm,positive
staronline nobody cares i believe and notmypm,positive
hafizultaib notmypm,neutral
staronline titm official definitely don t want to be associated in any way with geng pelacur taliban paspusat harakahdailyhd notmypm pelacur penunggangagama taliban,positive
we should embrace covid jfc our pm is cooked notmypm nothankyou auspol auspol morrisonfail lnpcovidparty morrisonvaccinecrisis lnp,positive
all the best to all athletes demimalaysia bring back the glory still ismail sabri is notmypm,positive
paulmeekperth at some point morrison will stand behind the podium like he did in reference to afghanistan and justify covid deaths upon reopening as being in a good cause unforgivable and callous notmypm,positive
bfmradio notmypm,neutral
turn the tv off when morrison is on it psa it does wonders for your mental health notmypm,neutral
ismail sabri is definitely notmypm,positive
miss anthrop totally we need a new pm canadaneedshelp nofreedomwithtrudeau nodemocracy notmypm novaccinepassports medicalchoice nomedicalcoercion prochoice freedom bodyautonomy nomedicalsegregation,positive
michaelkoziol raf epstein and reducing medicare will force uptake in private health insurance that s a man with a national cabinet plan notmypm notaleaderjustaliberal morrisonmustgo,neutral
edengillespie and reducing medicare will force uptake in private health insurance that s a man with a national cabinet plan notmypm notaleaderjustaliberal morrisonmustgo,neutral
only this time during maiuddin was none notmypm,neutral
keluarga malaysia notmypm,neutral
priministerrr paling pelik is dia tak baca doa notmypm,negative
this is what some australians voted for stealing vaccines from poor countries stealing money from taxpayers and giving to the wealthy ignoring stranded australians overseas for over months no quarantine and late vaccines notmypm,negative
elizabe mrsmutt yet its the feds aka notmypm who wants to open up yesterday,neutral
breakfastnews notmypm,neutral
awani ismailsabri kepercayaan rakyat bila bila kami tak percaya dan tak pernah minta ko jd pm kami notmypm,neutral
hafizultaib ismailsabri kerajaangagallagi lawantetaplawan notmypm mengarut orang tua ni jadi pm takde sape nak tau la pakcik mail woii,neutral
scheekeong chowkonyeow meanwhile theirpm masa jadi tpm haritu masuk kerja pukul pagi kerajaanpn kerajaangagal notmypm,neutral
lagacawan ismailsabri notmypm takde kriteria langsung jadi pm gi main dengan cucu jela,neutral
deydelr zack rockstar ismailsabri notmypm weak azminali gila kuasa je semua,negative
were all the press threatened or something what s with all the advertorial esque pr bs nonsense that s being vomited out notmypm,negative
bongkersz pm puppet mael notmypm ismailsabri,neutral
give him a mask and a comb notmypm the fool,negative
smokenmirrors so many choices so little time but the main protagonist s are notmypm and gladys beetrooter has gone m i a but i for one thinks that a win,positive
akhirnya jungwoo dan haechan punya akun instagram dengan profil misterius nct bakal comeback nct neverthelessep ncit nct nctdream ncts horror nights notmypm nct nct nct sticker nct nct nctisback,negative
the racist sh t this bastard has been spewing all this while notmypm,negative
apa masalahnya kalau azminali jadi tpm hahahaha senang keje ph nanti notmypm notmytpm,neutral
